id,name,artists,popularity,year,explicit,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,url
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,80,2004,0,222973,0.00121,0.352,0.911,0.0,1,0.0995,-5.23,1,0.0747,148.033,0.236,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
005Dlt8Xaz3DkaXiRJgdiS,Historia de Taxi,Ricardo Arjona,63,1994,0,405120,0.1169999999999999,0.715,0.621,1.07e-06,2,0.2789999999999999,-10.755,0,0.0341,147.053,0.698,https://open.spotify.com/track/4qmXbnmZxZy9pavpf3YfP5
0068sWyv51jn6VT83EybzR,Reggaeton,J Balvin,0,2021,0,158800,0.0165,0.747,0.74,9.940000000000004e-05,4,0.1009999999999999,-4.325,0,0.191,176.062,0.552,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
009ImBOrIUlWgla8U05RAC,Unconditionally,Katy Perry,70,2013,0,228879,0.00273,0.4320000000000001,0.725,0.0,7,0.208,-4.862,1,0.0431,128.90200000000002,0.353,https://open.spotify.com/track/2RPNCUaDL2ixoY9wGpoJoQ
00GOPLxW4PGQuUYdPJh8K1,IV. Sweatpants,Childish Gambino,71,2013,1,180675,0.154,0.71,0.47,0.0,1,0.643,-9.33,0,0.142,80.027,0.581,https://open.spotify.com/track/2rmq49FcJ4U3wh1Z7C9UxE
00KfIFi2TpAaQGPbRbFbKJ,IN MY REMAINS,Linkin Park,61,2012,0,200693,0.00401,0.5529999999999999,0.907,0.0,9,0.266,-5.6229999999999976,0,0.0484,100.967,0.451,https://open.spotify.com/track/00KfIFi2TpAaQGPbRbFbKJ
00MYbj8WKfcv3Bz6qFhJKn,Papercut,Linkin Park,44,2000,0,184867,0.00022,0.524,0.939,0.0,9,0.623,-3.994,1,0.113,150.184,0.6609999999999999,https://open.spotify.com/track/1Vej0qeQ3ioKwpI6FUbRv1
00Mb3DuaIH1kjrwOku9CGU,Sk8er Boi,Avril Lavigne,75,2002,0,204000,6.790000000000001e-05,0.487,0.9,0.0,0,0.358,-4.417,1,0.0482,149.937,0.484,https://open.spotify.com/track/00Mb3DuaIH1kjrwOku9CGU
00NAQYOP4AmWR549nnYJZu,Secrets,The Weeknd,70,2016,0,265600,0.0155,0.664,0.7709999999999999,9.6e-06,0,0.46,-5.779,1,0.0533,109.945,0.763,https://open.spotify.com/track/3DX4Y0egvc0slLcLl31h2p
00QAndVDVfNqNWYdWAhEan,Who Wants To Live Forever - Remastered 2011,Queen,48,1991,0,295347,0.5770000000000001,0.135,0.3989999999999999,0.00104,4,0.115,-8.67,0,0.0361,87.476,0.0383,https://open.spotify.com/track/41kCFJBcaLSt7Ruk5zO3Vr
