,id,title,genres,keywords,overview,director,cast,release_date,production_companies,runtime,popularity,budget,revenue,vote_average,vote_count,poster_path
0,862,Toy Story,"['Animation', 'Comedy', 'Family']","['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boy next door', 'new toy', 'toy comes to life']","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",['John Lasseter'],"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn', 'John Ratzenberger', 'Annie Potts', 'John Morris', 'Erik von Detten', 'Laurie Metcalf', 'R. Lee Ermey', 'Sarah Freeman', 'Penn Jillette']",1995-10-30,['Pixar Animation Studios'],81.0,21.946943,30000000,373554033.0,7.7,5415.0,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg
1,8844,Jumanji,"['Adventure', 'Fantasy', 'Family']","['board game', 'disappearance', ""based on children's book"", 'new home', 'recluse', 'giant insect']","When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",['Joe Johnston'],"['Robin Williams', 'Jonathan Hyde', 'Kirsten Dunst', 'Bradley Pierce', 'Bonnie Hunt', 'Bebe Neuwirth', 'David Alan Grier', 'Patricia Clarkson', 'Adam Hann-Byrd', 'Laura Bell Bundy', 'James Handy', 'Gillian Barber', 'Brandon Obray', 'Cyrus Thiedeke', 'Gary Joseph Thorup', 'Leonard Zola', 'Lloyd Berry', 'Malcolm Stewart', 'Annabel Kershaw', 'Darryl Henriques', 'Robyn Driscoll', 'Peter Bryant', 'Sarah Gilson', 'Florica Vlad', 'June Lion', 'Brenda Lockmuller']",1995-12-15,"['TriStar Pictures', 'Teitler Film', 'Interscope Communications']",104.0,17.015539,65000000,262797249.0,6.9,2413.0,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg
2,949,Heat,"['Action', 'Crime', 'Drama', 'Thriller']","['robbery', 'detective', 'bank', 'obsession', 'chase', 'shooting', 'thief', 'honor', 'murder', 'suspense', 'heist', 'betrayal', 'money', 'gang', 'cat and mouse', 'criminal mastermind', 'cult film', 'ex-con', 'heist movie', 'one last job', 'loner', 'bank job', 'neo-noir', 'gun fight', 'crime epic']","Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",['Michael Mann'],"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight', 'Tom Sizemore', 'Diane Venora', 'Amy Brenneman', 'Ashley Judd', 'Mykelti Williamson', 'Natalie Portman', 'Ted Levine', 'Tom Noonan', 'Tone Loc', 'Hank Azaria', 'Wes Studi', 'Dennis Haysbert', 'Danny Trejo', 'Henry Rollins', 'William Fichtner', 'Kevin Gage', 'Susan Traylor', 'Jerry Trimble', 'Ricky Harris', 'Jeremy Piven', 'Xander Berkeley', 'Begonya Plaza', 'Rick Avery', 'Hazelle Goodman', 'Ray Buktenica', 'Max Daniels', 'Vince Deadrick Jr.', 'Steven Ford', 'Farrah Forke', 'Patricia Healy', 'Paul Herman']",1995-12-15,"['Regency Enterprises', 'Forward Pass', 'Warner Bros.']",170.0,17.924927,60000000,187436818.0,7.7,1886.0,/zMyfPUelumio3tiDKPffaUpsQTD.jpg
3,710,GoldenEye,"['Adventure', 'Action', 'Thriller']","['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg russia', 'ejection seat', 'red army']",James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,['Martin Campbell'],"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen', 'Joe Don Baker', 'Judi Dench', 'Gottfried John', 'Robbie Coltrane', 'Alan Cumming', 'Tchéky Karyo', 'Desmond Llewelyn', 'Samantha Bond', 'Michael Kitchen', 'Serena Gordon', 'Simon Kunz', 'Billy J. Mitchell', 'Constantine Gregory', 'Minnie Driver', 'Michelle Arthur', 'Ravil Isyanov']",1995-11-16,"['United Artists', 'Eon Productions']",130.0,14.686036,58000000,352194034.0,6.6,1194.0,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg
4,1408,Cutthroat Island,"['Action', 'Adventure']","['exotic island', 'treasure', 'map', 'ship', 'scalp', 'pirate']","Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",['Renny Harlin'],"['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide', 'Stan Shaw', 'Rex Linn', 'Paul Dillon', 'Christopher Masterson', 'Jimmie F. Skaggs', 'Harris Yulin', 'Carl Chase', 'Peter Geeves', 'Angus Wright', 'Ken Bones', 'Mary Peach', 'Thomas Lockyer', 'Roger Booth', 'George Murcell', 'Simon Atherton', 'Dickey Beer', 'Christopher Halliday', 'Chris Johnston', 'Richard Leaf', 'Tam White', 'Rupert Vansittart', 'Nick Bartlett', 'David Bailie', 'Kwame Kwei-Armah', 'Ramon Tikaram', 'Christopher Adamson']",1995-12-22,"['Le Studio Canal+', 'Laurence Mark Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Carolco Pictures']",119.0,7.284477,98000000,10017322.0,5.7,137.0,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg
5,524,Casino,"['Drama', 'Crime']","['poker', 'drug abuse', '1970s', 'overdose', 'illegal prostitution']",The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,['Martin Scorsese'],"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles', 'Alan King', 'Kevin Pollak', 'Pasquale Cajano', 'L.Q. Jones', 'Dick Smothers', 'Frank Vincent', 'Oscar Goodman', 'Richard Riehle', 'Catherine Scorsese', 'Vinny Vella', 'Nobu Matsuhisa', 'Erika von Tagen', 'Nick Mazzola', 'David Rose', 'John Bloom', 'Joseph Rigano', 'Philip Suriano', 'Melissa Prophet', 'Bill Allison', 'Joe La Due', 'Joseph P. Reidy', 'Craig Vincent', 'Carl Ciarfalio', 'Gene Ruffini', 'Dominick Grieco', 'Clem Caserta', 'Daniel P. Conte', 'Joey DePinto', 'Jack Orend', 'Paul Herman']",1995-11-22,"['Universal Pictures', 'Légende Entreprises', 'Syalis DA', 'De Fina-Cappa']",178.0,10.137389,52000000,116112375.0,7.8,1343.0,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg
6,4584,Sense and Sensibility,"['Drama', 'Romance']","['bowling', 'based on novel', 'servant', 'country life', 'jane austen', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'horse and carriage', 'decorum']","Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",['Ang Lee'],"['Kate Winslet', 'Emma Thompson', 'Hugh Grant', 'Tom Wilkinson', 'Alan Rickman', 'Imogen Stubbs', 'Greg Wise', 'Hugh Laurie', 'Imelda Staunton', 'Robert Hardy', 'Oliver Ford Davies', 'James Fleet', 'Harriet Walter', 'Gemma Jones', 'Emilie François', 'Elizabeth Spriggs', 'Richard Lumsden']",1995-12-13,"['Columbia Pictures Corporation', 'Mirage Enterprises']",136.0,10.673167,16500000,135000000.0,7.2,364.0,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg
7,5,Four Rooms,"['Crime', 'Comedy']","['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director', 'episode film']",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,['Allison Anders'],"['Tim Roth', 'Antonio Banderas', 'Jennifer Beals', 'Madonna', 'Marisa Tomei', 'Bruce Willis', 'Quentin Tarantino', 'Sammi Davis', 'Amanda de Cadenet', 'Valeria Golino', 'Lili Taylor', 'Lawrence Bender', 'Ione Skye', 'Alicia Witt', 'David Proval', 'Lana McKissack', 'Tamlyn Tomita', 'Kathy Griffin', 'Paul Calderon', 'Salma Hayek', 'Patricia Vonne', 'Danny Verduzco', 'Kimberly Blair', 'Marc Lawrence']",1995-12-09,"['Miramax Films', 'A Band Apart']",98.0,9.026586,4000000,4300000.0,6.5,539.0,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg
8,8012,Get Shorty,"['Comedy', 'Thriller', 'Crime']","['gambling', 'miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con']","Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",['Barry Sonnenfeld'],"['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina', 'Delroy Lindo', 'James Gandolfini', 'Jon Gries', 'Renee Props', 'David Paymer', 'Martin Ferrero', 'Miguel Sandoval', 'Jacob Vargas', 'Bobby Slayton', 'Linda Hart', 'Jeffrey J. Stephen']",1995-10-20,"['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']",105.0,12.669608,30250000,115101622.0,6.4,305.0,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg
9,1710,Copycat,"['Drama', 'Thriller']","['police brutality', 'psychology', 'police operation', 'police protection', 'serial killer', 'psychologist', 'cowardliness']",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,['Jon Amiel'],"['Sigourney Weaver', 'Holly Hunter', 'Will Patton', 'William McNamara', 'Harry Connick Jr.', 'J.E. Freeman', 'Dermot Mulroney', 'John Rothman', ""Shannon O'Hurley"", 'Bob Greene', 'Tony Haney', 'Danny Kovacs', 'Tahmus Rounds', 'Scott Devenney', 'David Michael Silverman']",1995-10-27,"['Regency Enterprises', 'New Regency Pictures']",124.0,10.701801,0,0.0,6.5,199.0,/80czeJGSoik22fhtUM9WzyjUU4r.jpg
