,id,title,genres,keywords,overview,director,cast,release_date,production_companies,runtime,popularity,budget,revenue,vote_average,vote_count,poster_path,tags
0,862,Toy Story,"['Animation', 'Comedy', 'Family']","['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boynextdoor', 'newtoy', 'toycomestolife']","['Led', 'by', 'Woody,', ""Andy's"", 'toys', 'live', 'happily', 'in', 'his', 'room', 'until', ""Andy's"", 'birthday', 'brings', 'Buzz', 'Lightyear', 'onto', 'the', 'scene.', 'Afraid', 'of', 'losing', 'his', 'place', 'in', ""Andy's"", 'heart,', 'Woody', 'plots', 'against', 'Buzz.', 'But', 'when', 'circumstances', 'separate', 'Buzz', 'and', 'Woody', 'from', 'their', 'owner,', 'the', 'duo', 'eventually', 'learns', 'to', 'put', 'aside', 'their', 'differences.']",['JohnLasseter'],"['TomHanks', 'TimAllen', 'DonRickles', 'JimVarney', 'WallaceShawn', 'JohnRatzenberger', 'AnniePotts', 'JohnMorris', 'ErikvonDetten', 'LaurieMetcalf', 'R.LeeErmey', 'SarahFreeman', 'PennJillette']",1995-10-30,['PixarAnimationStudios'],81.0,21.946943,30000000,373554033.0,7.7,5415.0,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,"animation comedy family jealousy toy boy friendship friends rivalry boynextdoor newtoy toycomestolife led by woody, andy's toys live happily in his room until andy's birthday brings buzz lightyear onto the scene. afraid of losing his place in andy's heart, woody plots against buzz. but when circumstances separate buzz and woody from their owner, the duo eventually learns to put aside their differences. tomhanks timallen donrickles jimvarney wallaceshawn johnratzenberger anniepotts johnmorris erikvondetten lauriemetcalf r.leeermey sarahfreeman pennjillette johnlasseter pixaranimationstudios"
1,8844,Jumanji,"['Adventure', 'Fantasy', 'Family']","['boardgame', 'disappearance', ""basedonchildren'sbook"", 'newhome', 'recluse', 'giantinsect']","['When', 'siblings', 'Judy', 'and', 'Peter', 'discover', 'an', 'enchanted', 'board', 'game', 'that', 'opens', 'the', 'door', 'to', 'a', 'magical', 'world,', 'they', 'unwittingly', 'invite', 'Alan', '--', 'an', 'adult', ""who's"", 'been', 'trapped', 'inside', 'the', 'game', 'for', '26', 'years', '--', 'into', 'their', 'living', 'room.', ""Alan's"", 'only', 'hope', 'for', 'freedom', 'is', 'to', 'finish', 'the', 'game,', 'which', 'proves', 'risky', 'as', 'all', 'three', 'find', 'themselves', 'running', 'from', 'giant', 'rhinoceroses,', 'evil', 'monkeys', 'and', 'other', 'terrifying', 'creatures.']",['JoeJohnston'],"['RobinWilliams', 'JonathanHyde', 'KirstenDunst', 'BradleyPierce', 'BonnieHunt', 'BebeNeuwirth', 'DavidAlanGrier', 'PatriciaClarkson', 'AdamHann-Byrd', 'LauraBellBundy', 'JamesHandy', 'GillianBarber', 'BrandonObray', 'CyrusThiedeke', 'GaryJosephThorup', 'LeonardZola', 'LloydBerry', 'MalcolmStewart', 'AnnabelKershaw', 'DarrylHenriques', 'RobynDriscoll', 'PeterBryant', 'SarahGilson', 'FloricaVlad', 'JuneLion', 'BrendaLockmuller']",1995-12-15,"['TriStarPictures', 'TeitlerFilm', 'InterscopeCommunications']",104.0,17.015539,65000000,262797249.0,6.9,2413.0,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,"adventure fantasy family boardgame disappearance basedonchildren'sbook newhome recluse giantinsect when siblings judy and peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite alan -- an adult who's been trapped inside the game for 26 years -- into their living room. alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures. robinwilliams jonathanhyde kirstendunst bradleypierce bonniehunt bebeneuwirth davidalangrier patriciaclarkson adamhann-byrd laurabellbundy jameshandy gillianbarber brandonobray cyrusthiedeke garyjosephthorup leonardzola lloydberry malcolmstewart annabelkershaw darrylhenriques robyndriscoll peterbryant sarahgilson floricavlad junelion brendalockmuller joejohnston tristarpictures teitlerfilm interscopecommunications"
2,949,Heat,"['Action', 'Crime', 'Drama', 'Thriller']","['robbery', 'detective', 'bank', 'obsession', 'chase', 'shooting', 'thief', 'honor', 'murder', 'suspense', 'heist', 'betrayal', 'money', 'gang', 'catandmouse', 'criminalmastermind', 'cultfilm', 'ex-con', 'heistmovie', 'onelastjob', 'loner', 'bankjob', 'neo-noir', 'gunfight', 'crimeepic']","['Obsessive', 'master', 'thief,', 'Neil', 'McCauley', 'leads', 'a', 'top-notch', 'crew', 'on', 'various', 'insane', 'heists', 'throughout', 'Los', 'Angeles', 'while', 'a', 'mentally', 'unstable', 'detective,', 'Vincent', 'Hanna', 'pursues', 'him', 'without', 'rest.', 'Each', 'man', 'recognizes', 'and', 'respects', 'the', 'ability', 'and', 'the', 'dedication', 'of', 'the', 'other', 'even', 'though', 'they', 'are', 'aware', 'their', 'cat-and-mouse', 'game', 'may', 'end', 'in', 'violence.']",['MichaelMann'],"['AlPacino', 'RobertDeNiro', 'ValKilmer', 'JonVoight', 'TomSizemore', 'DianeVenora', 'AmyBrenneman', 'AshleyJudd', 'MykeltiWilliamson', 'NataliePortman', 'TedLevine', 'TomNoonan', 'ToneLoc', 'HankAzaria', 'WesStudi', 'DennisHaysbert', 'DannyTrejo', 'HenryRollins', 'WilliamFichtner', 'KevinGage', 'SusanTraylor', 'JerryTrimble', 'RickyHarris', 'JeremyPiven', 'XanderBerkeley', 'BegonyaPlaza', 'RickAvery', 'HazelleGoodman', 'RayBuktenica', 'MaxDaniels', 'VinceDeadrickJr.', 'StevenFord', 'FarrahForke', 'PatriciaHealy', 'PaulHerman']",1995-12-15,"['RegencyEnterprises', 'ForwardPass', 'WarnerBros.']",170.0,17.924927,60000000,187436818.0,7.7,1886.0,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,"action crime drama thriller robbery detective bank obsession chase shooting thief honor murder suspense heist betrayal money gang catandmouse criminalmastermind cultfilm ex-con heistmovie onelastjob loner bankjob neo-noir gunfight crimeepic obsessive master thief, neil mccauley leads a top-notch crew on various insane heists throughout los angeles while a mentally unstable detective, vincent hanna pursues him without rest. each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence. alpacino robertdeniro valkilmer jonvoight tomsizemore dianevenora amybrenneman ashleyjudd mykeltiwilliamson natalieportman tedlevine tomnoonan toneloc hankazaria wesstudi dennishaysbert dannytrejo henryrollins williamfichtner kevingage susantraylor jerrytrimble rickyharris jeremypiven xanderberkeley begonyaplaza rickavery hazellegoodman raybuktenica maxdaniels vincedeadrickjr. stevenford farrahforke patriciahealy paulherman michaelmann regencyenterprises forwardpass warnerbros."
3,710,GoldenEye,"['Adventure', 'Action', 'Thriller']","['cuba', 'falselyaccused', 'secretidentity', 'computervirus', 'secretbase', 'secretintelligenceservice', 'kgb', 'satellite', 'specialcar', 'cossack', 'electromagneticpulse', 'timebomb', 'st.petersburgrussia', 'ejectionseat', 'redarmy']","['James', 'Bond', 'must', 'unmask', 'the', 'mysterious', 'head', 'of', 'the', 'Janus', 'Syndicate', 'and', 'prevent', 'the', 'leader', 'from', 'utilizing', 'the', 'GoldenEye', 'weapons', 'system', 'to', 'inflict', 'devastating', 'revenge', 'on', 'Britain.']",['MartinCampbell'],"['PierceBrosnan', 'SeanBean', 'IzabellaScorupco', 'FamkeJanssen', 'JoeDonBaker', 'JudiDench', 'GottfriedJohn', 'RobbieColtrane', 'AlanCumming', 'TchékyKaryo', 'DesmondLlewelyn', 'SamanthaBond', 'MichaelKitchen', 'SerenaGordon', 'SimonKunz', 'BillyJ.Mitchell', 'ConstantineGregory', 'MinnieDriver', 'MichelleArthur', 'RavilIsyanov']",1995-11-16,"['UnitedArtists', 'EonProductions']",130.0,14.686036,58000000,352194034.0,6.6,1194.0,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,adventure action thriller cuba falselyaccused secretidentity computervirus secretbase secretintelligenceservice kgb satellite specialcar cossack electromagneticpulse timebomb st.petersburgrussia ejectionseat redarmy james bond must unmask the mysterious head of the janus syndicate and prevent the leader from utilizing the goldeneye weapons system to inflict devastating revenge on britain. piercebrosnan seanbean izabellascorupco famkejanssen joedonbaker judidench gottfriedjohn robbiecoltrane alancumming tchékykaryo desmondllewelyn samanthabond michaelkitchen serenagordon simonkunz billyj.mitchell constantinegregory minniedriver michellearthur ravilisyanov martincampbell unitedartists eonproductions
4,1408,Cutthroat Island,"['Action', 'Adventure']","['exoticisland', 'treasure', 'map', 'ship', 'scalp', 'pirate']","['Morgan', 'Adams', 'and', 'her', 'slave,', 'William', 'Shaw,', 'are', 'on', 'a', 'quest', 'to', 'recover', 'the', 'three', 'portions', 'of', 'a', 'treasure', 'map.', 'Unfortunately,', 'the', 'final', 'portion', 'is', 'held', 'by', 'her', 'murderous', 'uncle,', 'Dawg.', 'Her', 'crew', 'is', 'skeptical', 'of', 'her', 'leadership', 'abilities,', 'so', 'she', 'must', 'complete', 'her', 'quest', 'before', 'they', 'mutiny', 'against', 'her.', 'This', 'is', 'made', 'yet', 'more', 'difficult', 'by', 'the', 'efforts', 'of', 'the', 'British', 'crown', 'to', 'end', 'her', 'pirate', 'raids.']",['RennyHarlin'],"['GeenaDavis', 'MatthewModine', 'FrankLangella', 'MauryChaykin', 'PatrickMalahide', 'StanShaw', 'RexLinn', 'PaulDillon', 'ChristopherMasterson', 'JimmieF.Skaggs', 'HarrisYulin', 'CarlChase', 'PeterGeeves', 'AngusWright', 'KenBones', 'MaryPeach', 'ThomasLockyer', 'RogerBooth', 'GeorgeMurcell', 'SimonAtherton', 'DickeyBeer', 'ChristopherHalliday', 'ChrisJohnston', 'RichardLeaf', 'TamWhite', 'RupertVansittart', 'NickBartlett', 'DavidBailie', 'KwameKwei-Armah', 'RamonTikaram', 'ChristopherAdamson']",1995-12-22,"['LeStudioCanal+', 'LaurenceMarkProductions', 'Metro-Goldwyn-Mayer(MGM)', 'CarolcoPictures']",119.0,7.284477,98000000,10017322.0,5.7,137.0,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,"action adventure exoticisland treasure map ship scalp pirate morgan adams and her slave, william shaw, are on a quest to recover the three portions of a treasure map. unfortunately, the final portion is held by her murderous uncle, dawg. her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. this is made yet more difficult by the efforts of the british crown to end her pirate raids. geenadavis matthewmodine franklangella maurychaykin patrickmalahide stanshaw rexlinn pauldillon christophermasterson jimmief.skaggs harrisyulin carlchase petergeeves anguswright kenbones marypeach thomaslockyer rogerbooth georgemurcell simonatherton dickeybeer christopherhalliday chrisjohnston richardleaf tamwhite rupertvansittart nickbartlett davidbailie kwamekwei-armah ramontikaram christopheradamson rennyharlin lestudiocanal+ laurencemarkproductions metro-goldwyn-mayer(mgm) carolcopictures"
5,524,Casino,"['Drama', 'Crime']","['poker', 'drugabuse', '1970s', 'overdose', 'illegalprostitution']","['The', 'life', 'of', 'the', 'gambling', 'paradise', '–', 'Las', 'Vegas', '–', 'and', 'its', 'dark', 'mafia', 'underbelly.']",['MartinScorsese'],"['RobertDeNiro', 'SharonStone', 'JoePesci', 'JamesWoods', 'DonRickles', 'AlanKing', 'KevinPollak', 'PasqualeCajano', 'L.Q.Jones', 'DickSmothers', 'FrankVincent', 'OscarGoodman', 'RichardRiehle', 'CatherineScorsese', 'VinnyVella', 'NobuMatsuhisa', 'ErikavonTagen', 'NickMazzola', 'DavidRose', 'JohnBloom', 'JosephRigano', 'PhilipSuriano', 'MelissaProphet', 'BillAllison', 'JoeLaDue', 'JosephP.Reidy', 'CraigVincent', 'CarlCiarfalio', 'GeneRuffini', 'DominickGrieco', 'ClemCaserta', 'DanielP.Conte', 'JoeyDePinto', 'JackOrend', 'PaulHerman']",1995-11-22,"['UniversalPictures', 'LégendeEntreprises', 'SyalisDA', 'DeFina-Cappa']",178.0,10.137389,52000000,116112375.0,7.8,1343.0,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,drama crime poker drugabuse 1970s overdose illegalprostitution the life of the gambling paradise – las vegas – and its dark mafia underbelly. robertdeniro sharonstone joepesci jameswoods donrickles alanking kevinpollak pasqualecajano l.q.jones dicksmothers frankvincent oscargoodman richardriehle catherinescorsese vinnyvella nobumatsuhisa erikavontagen nickmazzola davidrose johnbloom josephrigano philipsuriano melissaprophet billallison joeladue josephp.reidy craigvincent carlciarfalio generuffini dominickgrieco clemcaserta danielp.conte joeydepinto jackorend paulherman martinscorsese universalpictures légendeentreprises syalisda defina-cappa
6,4584,Sense and Sensibility,"['Drama', 'Romance']","['bowling', 'basedonnovel', 'servant', 'countrylife', 'janeausten', 'inheritance', 'militaryofficer', 'perioddrama', 'rainstorm', 'horseandcarriage', 'decorum']","['Rich', 'Mr.', 'Dashwood', 'dies,', 'leaving', 'his', 'second', 'wife', 'and', 'her', 'daughters', 'poor', 'by', 'the', 'rules', 'of', 'inheritance.', 'Two', 'daughters', 'are', 'the', 'titular', 'opposites.']",['AngLee'],"['KateWinslet', 'EmmaThompson', 'HughGrant', 'TomWilkinson', 'AlanRickman', 'ImogenStubbs', 'GregWise', 'HughLaurie', 'ImeldaStaunton', 'RobertHardy', 'OliverFordDavies', 'JamesFleet', 'HarrietWalter', 'GemmaJones', 'EmilieFrançois', 'ElizabethSpriggs', 'RichardLumsden']",1995-12-13,"['ColumbiaPicturesCorporation', 'MirageEnterprises']",136.0,10.673167,16500000,135000000.0,7.2,364.0,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,"drama romance bowling basedonnovel servant countrylife janeausten inheritance militaryofficer perioddrama rainstorm horseandcarriage decorum rich mr. dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. two daughters are the titular opposites. katewinslet emmathompson hughgrant tomwilkinson alanrickman imogenstubbs gregwise hughlaurie imeldastaunton roberthardy oliverforddavies jamesfleet harrietwalter gemmajones emiliefrançois elizabethspriggs richardlumsden anglee columbiapicturescorporation mirageenterprises"
7,5,Four Rooms,"['Crime', 'Comedy']","['hotel', ""newyear'seve"", 'witch', 'bet', 'hotelroom', 'sperm', 'losangeles', 'hoodlum', 'womandirector', 'episodefilm']","[""It's"", 'Ted', 'the', ""Bellhop's"", 'first', 'night', 'on', 'the', 'job...and', 'the', ""hotel's"", 'very', 'unusual', 'guests', 'are', 'about', 'to', 'place', 'him', 'in', 'some', 'outrageous', 'predicaments.', 'It', 'seems', 'that', 'this', ""evening's"", 'room', 'service', 'is', 'serving', 'up', 'one', 'unbelievable', 'happening', 'after', 'another.']",['AllisonAnders'],"['TimRoth', 'AntonioBanderas', 'JenniferBeals', 'Madonna', 'MarisaTomei', 'BruceWillis', 'QuentinTarantino', 'SammiDavis', 'AmandadeCadenet', 'ValeriaGolino', 'LiliTaylor', 'LawrenceBender', 'IoneSkye', 'AliciaWitt', 'DavidProval', 'LanaMcKissack', 'TamlynTomita', 'KathyGriffin', 'PaulCalderon', 'SalmaHayek', 'PatriciaVonne', 'DannyVerduzco', 'KimberlyBlair', 'MarcLawrence']",1995-12-09,"['MiramaxFilms', 'ABandApart']",98.0,9.026586,4000000,4300000.0,6.5,539.0,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,crime comedy hotel newyear'seve witch bet hotelroom sperm losangeles hoodlum womandirector episodefilm it's ted the bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. it seems that this evening's room service is serving up one unbelievable happening after another. timroth antoniobanderas jenniferbeals madonna marisatomei brucewillis quentintarantino sammidavis amandadecadenet valeriagolino lilitaylor lawrencebender ioneskye aliciawitt davidproval lanamckissack tamlyntomita kathygriffin paulcalderon salmahayek patriciavonne dannyverduzco kimberlyblair marclawrence allisonanders miramaxfilms abandapart
8,8012,Get Shorty,"['Comedy', 'Thriller', 'Crime']","['gambling', 'miami', 'basedonnovel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con']","['Chili', 'Palmer', 'is', 'a', 'Miami', 'mobster', 'who', 'gets', 'sent', 'by', 'his', 'boss,', 'the', 'psychopathic', '""Bones""', 'Barboni,', 'to', 'collect', 'a', 'bad', 'debt', 'from', 'Harry', 'Zimm,', 'a', 'Hollywood', 'producer', 'who', 'specializes', 'in', 'cheesy', 'horror', 'films.', 'When', 'Chili', 'meets', ""Harry's"", 'leading', 'lady,', 'the', 'romantic', 'sparks', 'fly.', 'After', 'pitching', 'his', 'own', 'life', 'story', 'as', 'a', 'movie', 'idea,', 'Chili', 'learns', 'that', 'being', 'a', 'mobster', 'and', 'being', 'a', 'Hollywood', 'producer', 'really', ""aren't"", 'all', 'that', 'different.']",['BarrySonnenfeld'],"['JohnTravolta', 'GeneHackman', 'ReneRusso', 'DannyDeVito', 'DennisFarina', 'DelroyLindo', 'JamesGandolfini', 'JonGries', 'ReneeProps', 'DavidPaymer', 'MartinFerrero', 'MiguelSandoval', 'JacobVargas', 'BobbySlayton', 'LindaHart', 'JeffreyJ.Stephen']",1995-10-20,"['JerseyFilms', 'Metro-Goldwyn-Mayer(MGM)']",105.0,12.669608,30250000,115101622.0,6.4,305.0,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,"comedy thriller crime gambling miami basedonnovel job murder travel mafia money debt mobster business hollywood gangster crime violence drug producer con chili palmer is a miami mobster who gets sent by his boss, the psychopathic ""bones"" barboni, to collect a bad debt from harry zimm, a hollywood producer who specializes in cheesy horror films. when chili meets harry's leading lady, the romantic sparks fly. after pitching his own life story as a movie idea, chili learns that being a mobster and being a hollywood producer really aren't all that different. johntravolta genehackman renerusso dannydevito dennisfarina delroylindo jamesgandolfini jongries reneeprops davidpaymer martinferrero miguelsandoval jacobvargas bobbyslayton lindahart jeffreyj.stephen barrysonnenfeld jerseyfilms metro-goldwyn-mayer(mgm)"
9,1710,Copycat,"['Drama', 'Thriller']","['policebrutality', 'psychology', 'policeoperation', 'policeprotection', 'serialkiller', 'psychologist', 'cowardliness']","['An', 'agoraphobic', 'psychologist', 'and', 'a', 'female', 'detective', 'must', 'work', 'together', 'to', 'take', 'down', 'a', 'serial', 'killer', 'who', 'copies', 'serial', 'killers', 'from', 'the', 'past.']",['JonAmiel'],"['SigourneyWeaver', 'HollyHunter', 'WillPatton', 'WilliamMcNamara', 'HarryConnickJr.', 'J.E.Freeman', 'DermotMulroney', 'JohnRothman', ""ShannonO'Hurley"", 'BobGreene', 'TonyHaney', 'DannyKovacs', 'TahmusRounds', 'ScottDevenney', 'DavidMichaelSilverman']",1995-10-27,"['RegencyEnterprises', 'NewRegencyPictures']",124.0,10.701801,0,0.0,6.5,199.0,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,drama thriller policebrutality psychology policeoperation policeprotection serialkiller psychologist cowardliness an agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past. sigourneyweaver hollyhunter willpatton williammcnamara harryconnickjr. j.e.freeman dermotmulroney johnrothman shannono'hurley bobgreene tonyhaney dannykovacs tahmusrounds scottdevenney davidmichaelsilverman jonamiel regencyenterprises newregencypictures
